flag,eez,fishing_vessels,fishing_days,fishing_hours,fishing_KwH,start_lat,start_lon,end_lon,end_lat
Albania,Croatia,1,2,11.1625,9629.9249165,40.927083965,19.1130007712,15.6515147267,43.4307960226
Albania,Italy,1,5,33.345416666666665,28767.198997483338,40.927083965,19.1130007712,12.9279072597,39.6552300897
Albania,Libya,1,4,37.27569444444444,32157.862370472227,40.927083965,19.1130007712,18.4993444533,33.1430015882
Albania,Malta,1,8,102.85041666666665,88729.38769368335,40.927083965,19.1130007712,15.1112067205,35.3135543136
Albania,Montenegro,3,77,1083.03875,313511.9958553208,40.927083965,19.1130007712,18.6801469453,41.8702342631
Algeria,Italy,3,12,115.98972222222221,42833.42481261249,37.2034369817,3.53979379733,12.9279072597,39.6552300897
Algeria,Libya,2,11,104.83527777777775,119042.93272197498,37.2034369817,3.53979379733,18.4993444533,33.1430015882
Algeria,Malta,4,24,203.4898611111111,134323.96632110418,37.2034369817,3.53979379733,15.1112067205,35.3135543136
Algeria,Tunisia,2,15,65.54430555555555,77339.34554302084,37.2034369817,3.53979379733,11.0531894413,36.0013257587
Angola,Democratic Republic of the Congo,9,240,2289.3470833333336,1830570.360287892,-11.701097795,11.0353708514,10.7325554821,-6.40152598619
Argentina,Chile,4,34,199.73638888888902,232188.28994026806,-47.0899881567,-62.159504061,-75.6994658146,-40.7386937476
Argentina,Mozambique,1,344,6937.209722222222,5069651.470693959,-47.0899881567,-62.159504061,37.9562060878,-20.3732121341
Argentina,Uruguay,16,446,5862.32375,3952454.824236592,-47.0899881567,-62.159504061,-53.3214266066,-35.7892709012
Australia,Fiji,1,188,3046.593611111111,1016799.9169918026,-27.369229549,138.083587564,178.065032,-17.713371
Australia,Indonesia,2,8,38.77208333333333,19987.113023180555,-27.369229549,138.083587564,117.898147552,-3.30903479808
Australia,Kerguélen,2,36,596.5375000000016,2006333.9945833501,-27.369229549,138.083587564,68.974599155799993,-48.877945391
Australia,New Caledonia,1,60,812.8265277777779,365730.1988577987,-27.369229549,138.083587564,163.203766208,-21.0187061029
Australia,New Zealand,1,8,92.21388888888887,42598.37103508333,-27.369229549,138.083587564,171.3399414,-42.6919232
Australia,Papua New Guinea,1,2,10.636111111111113,5686.872599916667,-27.369229549,138.083587564,150.717739785,-5.46159340329
Australia,Republic of Mauritius,2,5,41.80541666666665,83699.90583333327,-27.369229549,138.083587564,60.1172030942,-16.8102129211
Australia,Russia,1,15,24.425555555555558,11193.689619522222,-27.369229549,138.083587564,93.5554082721,71.3259188065
Australia,South Africa,1,4,34.797222222222224,109054.49444444444,-27.369229549,138.083587564,24.4433127625,-33.5080154268
Australia,Tonga,1,30,487.1308333333333,131007.34904230002,-27.369229549,138.083587564,-174.765860806,-20.2217486938
Bahrain,Qatar,1,2,1.503888888888889,338.5089664222222,26.0667,50.5577,51.867444042,25.8805051284
Bahrain,Saudi Arabia,1,3,20.685277777777777,10597.616172269443,26.0667,50.5577,40.4817099566,22.453897246
Belarus,Argentina,1,2,6.0593055555555555,10582.729847277777,53.709807,27.953389,-62.159504061,-47.0899881567
Belgium,New Zealand,1,2,2.403611111111111,2403.1918011527778,51.4654455537,2.70503854662,171.3399414,-42.6919232
Belize,Angola,2,35,236.34638888888887,1227660.559164011,17.189877,-88.49765,11.0353708514,-11.701097795
Belize,Australia,1,5,47.32958333333337,26827.616157595818,17.189877,-88.49765,138.083587564,-27.369229549
Belize,Cameroon,1,13,63.509305555555535,56615.28660521665,17.189877,-88.49765,9.31100269891,3.46271367413
Belize,Canary Islands,3,8,57.28166666666667,293630.1911341333,17.189877,-88.49765,-17.6139556167,28.367147652
Belize,Faeroe,2,62,1002.7311111111113,5996830.960704974,17.189877,-88.49765,-6.98147891699,62.6049066497
Belize,Gabon,2,6,46.028055555555554,61483.05666037221,17.189877,-88.49765,8.73897075276,-3.06254123261
Belize,Ghana,4,74,657.1940277777777,1449767.870387972,17.189877,-88.49765,-0.847226823817,3.50286659343
Belize,Guinea,6,322,3932.9791666666683,15870585.042623846,17.189877,-88.49765,-15.6205073648,9.18113919475
Belize,Guinea-Bissau,3,7,45.535555555555554,228615.4368113417,17.189877,-88.49765,-17.5671963259,10.5806587096
Belize,Indonesia,2,48,542.1763888888888,399543.11442180554,17.189877,-88.49765,117.898147552,-3.30903479808
Belize,Iran,1,7,79.96416666666666,231683.56496650833,17.189877,-88.49765,53.8860317307,29.7820224927
Belize,Madagascar,1,126,2600.2284722222225,1926315.4800414103,17.189877,-88.49765,47.2538894845,-20.9128765386
Belize,Mauritania,9,498,4774.4390277777775,12181358.405068576,17.189877,-88.49765,-17.9181448954,18.2466224476
Belize,Namibia,1,40,439.2268055555555,2930290.4373726156,17.189877,-88.49765,12.2854741973,-23.649686501
Belize,Nigeria,1,2,7.888750000000002,7032.415774349997,17.189877,-88.49765,4.82278332072,4.08512461991
Belize,Norway,1,2,11.772083333333333,59548.36921165,17.189877,-88.49765,14.0571352197,68.188925744
Belize,Republic of Mauritius,3,122,2450.757916666667,1167150.4262568972,17.189877,-88.49765,60.1172030942,-16.8102129211
Belize,Russia,1,2,19.749166666666657,30794.01807451667,17.189877,-88.49765,93.5554082721,71.3259188065
Belize,Sao Tome and Principe,1,2,19.759305555555557,17614.40685521667,17.189877,-88.49765,6.35334522867,0.779096486722
Belize,Sierra Leone,2,238,2658.2091666666665,8514291.276244001,17.189877,-88.49765,-14.1446799886,6.6354075324
Belize,Singapore,1,70,138.95402777777778,224318.9173650722,17.189877,-88.49765,103.816427663,1.27428184632
